name,comecon_access,comecon_exit
Russian Federation,1949,1990
Ukraine,1949,1990
Belarus,1949,1990
Lithuania,1949,1990
Azerbaijan,1949,1990
Georgia,1949,1990
Uzbekistan,1949,1990
Kyrgyz Republic,1949,1990
Estonia,1949,1990
Tajikistan,1949,1990
Latvia,1949,1990
Armenia,1949,1990
Turkmenistan,1949,1990
Moldova,1949,1990
Kazakhstan,1949,1990
Poland,1949,1990
Romania,1949,1990
Czech Republic,1949,1990
Slovak Republic,1949,1990
Bulgaria,1949,1990
Hungary,1949,1990
Albania,1949,1961
Mongolia,1962,1990
Cuba,1972,1990
Vietnam,1978,1990
Serbia,1964,1990
Bosnia and Herzegovina,1964,1990
Slovenia,1964,1990
Croatia,1964,1990
North Macedonia,1964,1990
Montenegro,1964,1990
China,1956,1961
Laos,1964,1990
Afghanistan,1964,1990
Angola,1964,1990
Ethiopia,1964,1990
Mozambique,1964,1990
Yemen,1964,1990
North Korea,1964,1979
Nicaragua,1973,1990
Iraq,1973,1990
Mexico,1973,1990
Finland,1973,1990
