t,industry,agriculture,construction,consumption,pop,disaster,revenue
1998,34018.4 ,14241.9 ,10062.0 ,39229.3 ,124761.0 ,50145.0 ,9876.0 
1999,35861.5 ,14106.2 ,11152.9 ,41920.4 ,125786.0 ,49980.0 ,11444.1 
2000,40033.6 ,13873.6 ,12497.6 ,45854.6 ,126743.0 ,54688.0 ,13395.2 
2001,43580.6 ,14462.8 ,15361.6 ,49435.9 ,127627.0 ,52215.0 ,16386.0 
2002,47431.3 ,14931.5 ,18527.2 ,53056.6 ,128453.0 ,46946.0 ,18903.6 
2003,54945.5 ,14870.1 ,23083.9 ,57649.8 ,129227.0 ,54506.0 ,21715.3 
2004,65210.0 ,18138.4 ,29021.5 ,65218.5 ,129988.0 ,37106.0 ,26396.5 
2005,77230.8 ,19613.4 ,34552.1 ,72958.7 ,130756.0 ,38818.0 ,31649.3 
2006,91310.9 ,21522.3 ,41557.2 ,82575.5 ,131448.0 ,41091.0 ,38760.2 
2007,110534.9 ,24658.2 ,51043.7 ,96332.5 ,132129.0 ,48992.0 ,51321.8 
2008,130260.2 ,28044.2 ,62036.8 ,111670.4 ,132802.0 ,39990.0 ,61330.4 
2009,135240.0 ,30777.5 ,76807.7 ,123584.6 ,133450.0 ,47214.0 ,68518.3 
2010,160722.2 ,36941.1 ,96031.1 ,140758.7 ,134091.0 ,37426.0 ,83101.5 
2011,188470.2 ,41988.6 ,116463.3 ,168956.6 ,134735.0 ,32471.0 ,103874.4 
2012,199671.0 ,46940.5 ,137217.9 ,190423.8 ,135404.0 ,24960.0 ,117253.5 
