Äê·Ý,tax,GDP,expand,CPI
1978,519.28,3645.22,1122.09,100.7
1979,537.82,4062.58,1281.79,102
1980,571.7,4545.62,1228.83,106
1981,629.89,4889.46,1138.41,102.4
1982,700.02,5330.45,1229.98,101.9
1983,775.59,5985.55,1409.52,101.5
1984,947.35,7243.75,1701.02,102.8
1985,2040.79,9040.74,2004.25,108.8
1986,2090.73,10274.38,2204.91,106
1987,2140.36,12050.62,2262.18,107.3
1988,2390.47,15036.82,2491.21,118.5
1989,2727.4,17000.92,2823.78,117.8
1990,2821.86,18718.32,3083.59,102.1
1991,2990.17,21826.2,3386.62,102.9
1992,3296.91,26937.28,3742.2,105.4
1993,4255.3,35260.02,4642.3,113.2
1994,5126.88,48108.46,5792.62,121.7
1995,6038.04,59810.53,6823.72,114.8
1996,6909.82,70142.49,7937.55,106.1
1997,8234.04,78060.85,9233.56,100.8
1998,9262.8,83024.33,10798.18,97.4
1999,10682.58,88479.16,13187.67,97
2000,12581.51,98000.48,15886.5,98.5
2001,15301.38,108068.2,18902.58,99.2
2002,17636.45,119095.68,22053.15,98.7
2003,20017.31,134976.97,24649.95,99.9
2004,24165.68,159453.6,28486.89,102.8
2005,28778.54,183617.37,33930.28,100.8
2006,34804.35,215904.41,40422.73,101
2007,45621.97,266422,49781.35,103.8
2008,54223.79,316030.34,62592.66,105.9
2009,59521.59,340319.95,76299.93,98.8
2010,73210.79,399759.54,89874.16,103.1
2011,89738.39,468562.38,109247.79,104.9
2012,100614.28,516282.06,125952.97,102
